Date,Strain ID,Receptor,Condition,Plate,File name/#,Area,Mean,Mode,Min,Max,Integrated Density,Median,Raw Integrated Density,Ch,Mean 1,Mean 2,Mean 3,Backsub Mean Fluorescence,Average Background mean fluorescence,RAW CTCF or corrected total cell fluorescence = Raw integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),,ECTOPIC EXPRESSION (NOT IN AWA) TRUE/FALSE,,,,,,,,,,,,,,,,,
20210928,PHX2465,srd-27,Post-dauer,NGM,20210928_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 4.Project Maximum Z_XY1632839800_Z0_T0_merged.tif:2,52.585,3376.368,1977,1511,15028,177547.37,3003,3963856,2,1248.465,,,2127.903,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2465,srd-27,Post-dauer,NGM,20210928_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 5.Project Maximum Z_XY1632839875_Z0_T0_merged.tif:2,49.316,3731.795,2011,1553,16053,184035.43,2947,4108706,2,1251.361,,,2480.434,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2465,srd-27,Post-dauer,NGM,20210928_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 5.Project Maximum Z_XY1632839875_Z0_T0_merged.tif:2,46.538,3455.829,1773,1576,19537,160828.913,2917,3590606,2,1251.361,,,2204.468,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2465,srd-27,Post-dauer,NGM,20210928_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 6.Project Maximum Z_XY1632839926_Z0_T0_merged.tif:2,53.974,4132.435,1842,1655,15785,223043.431,3793,4979584,2,1255.978,,,2876.457,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2465,srd-27,Post-dauer,NGM,20210928_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 7.Project Maximum Z_XY1632840029_Z0_T0_merged.tif:2,64.186,4466.246,2037,1685,25700,286671.93,3843,6400130,2,1304.332,,,3161.914,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2465,srd-27,Post-dauer,NGM,20210928_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 8.Project Maximum Z_XY1632840087_Z0_T0_merged.tif:2,44.926,3517.378,1788,1514,18874,158021.556,2813,3527930,2,1240.094,,,2277.284,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2465,srd-27,Post-dauer,NGM,20210928_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 8.Project Maximum Z_XY1632840087_Z0_T0_merged.tif:2,49.987,3545.871,1699,1496,26825,177248.879,2687,3957192,2,1240.094,,,2305.777,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2465,srd-27,Post-dauer,NGM,20211001_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult.Project Maximum Z_XY1633103048_Z0_T0_merged.tif:2,59.483,2674.547,2507,1814,12444,159090.641,2423,3551798,2,1240.76,,,1433.787,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2465,srd-27,Post-dauer,NGM,20211001_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 1.Project Maximum Z_XY1633103117_Z0_T0_merged.tif:2,88.777,5730.99,2908,2085,29937,508779.62,4637,11358823,2,1250.716,,,4480.274,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2465,srd-27,Post-dauer,NGM,20211001_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 1.Project Maximum Z_XY1633103117_Z0_T0_merged.tif:2,58.184,5137.055,2440,2180,25634,298895.776,3869,6673035,2,1250.716,,,3886.339,,,,,,,,,,,,,,,,,,,,,,
