animal,animal_num,genotype,condition,cue,baseline_meanGCaMP
07312020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal/07312020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal__6/07312020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal__6_ImageJ_data.csv,14,wt,Control,DIA,241.1434
07312020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal/07312020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal__7/07312020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal__7_ImageJ_data.csv,15,wt,Control,DIA,247.7315
07312020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal/07312020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal__8/07312020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal__8_ImageJ_data.csv,16,wt,Control,DIA,229.5697
07312020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal/07312020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal__9/07312020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal__9_ImageJ_data.csv,17,wt,Control,DIA,233.2362
06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_1/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_1_ImageJ_data.csv,1,wt,Post-dauer,DIA,317.9852
06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_2/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_2_ImageJ_data.csv,2,wt,Post-dauer,DIA,289.8531
06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_3/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_3_ImageJ_data.csv,3,wt,Post-dauer,DIA,320.7794
06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_4/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_4_ImageJ_data.csv,4,wt,Post-dauer,DIA,406.937
06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_5/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_5_ImageJ_data.csv,5,wt,Post-dauer,DIA,285.4009
06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_6/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_6_ImageJ_data.csv,6,wt,Post-dauer,DIA,331.8352
06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_7/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_7_ImageJ_data.csv,7,wt,Post-dauer,DIA,266.8389
06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_8/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_8_ImageJ_data.csv,8,wt,Post-dauer,DIA,353.6819
06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_9/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_9_ImageJ_data.csv,9,wt,Post-dauer,DIA,327.1912
07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__1/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,10,wt,Post-dauer,DIA,253.1451
07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__2/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__2_ImageJ_data.csv,11,wt,Post-dauer,DIA,260.0479
07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__3/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__3_ImageJ_data.csv,12,wt,Post-dauer,DIA,246.9543
07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__4/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__4_ImageJ_data.csv,13,wt,Post-dauer,DIA,271.4658
07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__5/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__5_ImageJ_data.csv,14,wt,Post-dauer,DIA,282.0532
07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__1/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,15,wt,Post-dauer,DIA,261.0961
07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__2/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__2_ImageJ_data.csv,16,wt,Post-dauer,DIA,302.3154
07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__4/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__4_ImageJ_data.csv,17,wt,Post-dauer,DIA,256.7846
07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__5/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__5_ImageJ_data.csv,18,wt,Post-dauer,DIA,277.4082
07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__8/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__8_ImageJ_data.csv,19,wt,Post-dauer,DIA,240.7674
