	X6665	X6666	X6667	X6668	X6669	X6670	X6671	X6672	X6673	X6674	X6675	X6676	D22_243	D22_244	D22_245	D22_246
21ur-10153	0	0	0	20.9694342229204	14.4349003373991	11.0841885718877	0	0	0	10.6752841755651	2.54829186150404	12.2636254045065	0	660.109370094064	118.318354780695	0
21ur-10191	0	0	0	2.71825999186005	4.64852722729801	2.21683771437755	0	0	0	1.70804546809042	0	0.490545016180259	0	197.517312547669	0	0
21ur-1024	0	3.22550720801182	0	0	0	0	1.37724902004972	0	1.83376632534248	0	0	0.490545016180259	0.584085834567762	2.17051991810625	0.611464365791703	0.72846725833764
21ur-10296	0	0	0	6.98981140764014	4.40386789954548	1.66262828578316	0	0	0	9.39425007449732	4.45951075763207	9.32035530742492	0	135.928809871404	0	0
21ur-10350	0	0	0	0.388322855980008	1.22329663876263	0.554209428594387	0	0	3.66753265068497	0.427011367022606	0	0.981090032360517	1.16817166913552	0.271314989763281	0.305732182895852	2.54963540418174
21ur-10432	1.93711943683265	0	0	0	0.244659327752527	0	6.88624510024862	0	3.66753265068497	0	0	0	1.75225750370329	2.17051991810625	1.83439309737511	2.54963540418174
21ur-10437	0	0	0	0	0	0	0	0	0	0	0	0	0.584085834567762	0.271314989763281	0.305732182895852	2.91386903335056
21ur-10697	0	0	0	7.37813426362015	32.7843499188386	29.9273091440969	0	0	0	3.41609093618084	5.73365668838409	4.90545016180259	18.6907467061684	0	0	0
21ur-10754	0	0	2.0926868894642	0	0	0	1.37724902004972	0	1.83376632534248	0	0	0	0	0.542629979526563	0.611464365791703	1.45693451667528
21ur-10763	1.93711943683265	0	0	0.388322855980008	0.244659327752527	0	1.37724902004972	0	0	0	0	0	0.584085834567762	1.08525995905313	0	1.09270088750646
21ur-10895	156.906674383444	0	0	46.2104198616209	40.1241297514144	37.132031715824	0	0	0	9.39425007449732	23.5716997189124	13.244715436867	0	0	24.4585746316681	0
21ur-10957	0	0	0	6.21316569568012	4.15920857179295	7.20472257172704	334.671511872083	0	0	12.3833296436556	5.09658372300808	6.37708521034336	0	0	0	0
21ur-10983	0	0	8.37074755785678	0	0	0	0	0	0	0	0	0	0	0.542629979526563	0	1.8211681458441
21ur-11188	1.93711943683265	0	2.0926868894642	0	0.244659327752527	0	0	6.17956743881732	1.83376632534248	0	0	0	0.584085834567762	0.542629979526563	1.83439309737511	2.91386903335056
21ur-11344	0	0	0	0.388322855980008	0.244659327752527	0.554209428594387	0	0	0	0.854022734045211	0	0	15.1862316987618	0	0	0
21ur-1139	1.93711943683265	16.1275360400591	4.18537377892839	0	0	0	4.13174706014917	12.3591348776346	3.66753265068497	0	0	0	5.25677251110986	24.4183490786953	2.75158964606266	13.1124106500775
21ur-11435	0	0	0	17.8628513750804	10.7650104211112	4.98788485734949	0	0	0	4.27011367022606	11.4673133767682	8.82981029124466	428.13491673817	0	0	0
21ur-11459	7.74847774733059	3.22550720801182	2.0926868894642	0.388322855980008	0.73397798325758	1.66262828578316	4.13174706014917	3.08978371940866	0	0.427011367022606	0	1.47163504854078	1.75225750370329	0.542629979526563	1.52866091447926	3.6423362916882
21ur-1152	0	0	0	0	0	0	1.37724902004972	0	0	0.427011367022606	0	0.981090032360517	1.75225750370329	0.271314989763281	0.917196548687555	1.45693451667528
21ur-11744	60.050702541812	0	0	11.6496856794002	8.80773579909096	3.87946600016071	49.58096472179	0	0	7.6862046064069	1.27414593075202	6.37708521034336	0	0	0	0
21ur-11781	1.93711943683265	0	0	0	0.73397798325758	0	5.50899608019889	9.26935115822598	3.66753265068497	0	0	0	2.92042917283881	3.79840985668594	1.22292873158341	39.7014655794014
21ur-11817	0	6.45101441602363	2.0926868894642	0	0	0	0	0	0	0	0	0.490545016180259	1.16817166913552	0.542629979526563	0.611464365791703	3.27810266251938
21ur-11897	30.9939109893223	0	31.3903033419629	20.5811113669404	7.3397798325758	2.77104714297194	9.64074314034806	9.26935115822598	0	5.97815913831648	5.09658372300808	14.2258054692275	12.265802525923	0.813944969289844	1.22292873158341	0.72846725833764
21ur-11898	1.93711943683265	0	4.18537377892839	0.388322855980008	0	0	0	0	0	0	0	0	0	0	0	2.54963540418174
21ur-11983	0	0	0	0	0	0	0	0	0	0	0	0	0.584085834567762	1.62788993857969	0.305732182895852	1.09270088750646
21ur-12005	0	0	0	0	0	0	0	6.17956743881732	0	0.427011367022606	0	0	0.584085834567762	0.813944969289844	0.611464365791703	1.09270088750646
21ur-12084	0	3.22550720801182	0	0	0	0	1.37724902004972	0	3.66753265068497	0	0	0	1.75225750370329	1.89920492834297	0.305732182895852	2.18540177501292
