animal,animal_num,Condition,data,maxD
20220805_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD/20220805_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_2/20220805_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_2_ImageJ_data.csv,2,Post-dauer,,-0.017669317
20220805_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD/20220805_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_3/20220805_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_3_ImageJ_data.csv,3,Post-dauer,,0.00484688
20220805_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD/20220805_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_4/20220805_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_4_ImageJ_data.csv,4,Post-dauer,,-0.007838354
20220805_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD/20220805_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_5/20220805_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_5_ImageJ_data.csv,5,Post-dauer,,0.126537522
20220805_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD/20220805_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_7/20220805_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_7_ImageJ_data.csv,6,Post-dauer,,-0.022939791
20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD/20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_1/20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_1_ImageJ_data.csv,7,Post-dauer,,0.040143554
20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD/20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_2/20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_2_ImageJ_data.csv,8,Post-dauer,,0.012918504
20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD/20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_3/20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_3_ImageJ_data.csv,9,Post-dauer,,0.011400044
20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD/20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_4/20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_4_ImageJ_data.csv,10,Post-dauer,,0.206829269
20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD/20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_5/20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_5_ImageJ_data.csv,11,Post-dauer,,0.030457154
20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD/20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_6/20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_6_ImageJ_data.csv,12,Post-dauer,,0.059093238
20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD/20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_7/20220809_TKR28_ky32_kyIs598_DIA105_115uM_SDS_PD_7_ImageJ_data.csv,13,Post-dauer,,0.18858397
