Date,Strain ID,Receptor,Condition,Plate,File name/#,Area,Mean,Mode,Min,Max,Integrated Density,Median,Raw Integrated Density,Ch,Slice,Mean 1,Mean 2,Mean 3,Backsub Mean Fluorescence,Average Background mean fluorescence,RAW CTCF or corrected total cell fluorescence = Raw integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),,ECTOPIC EXPRESSION (NOT IN AWA) TRUE/FALSE,,,,,,,,,,,,,,,,,
20211214,PHX3508,odr-10,L3,NGM,20211214_PHX3508_odr-10-t2A-mNG_L3 - 4.Project Maximum Z_XY1639511320_Z0_T0_C0.tif,22.172,3639.978,3666,1945,11073,80704.975,3310,1801789,1,,1280.714,,,2359.264,,,,,,,,,,,,,,,,,,,,,,
20211214,PHX3508,odr-10,L3,NGM,20211214_PHX3508_odr-10-t2A-mNG_L3 - 4.Project Maximum Z_XY1639511320_Z0_T0_C0.tif,24.68,4094.666,3540,1964,13132,101057.014,3891,2256161,1,,1280.714,,,2813.952,,,,,,,,,,,,,,,,,,,,,,
20211217,PHX3508,odr-10,L3,NGM,20211217_PHX3508_odr-10-t2A-mNG_L3.Project Maximum Z_XY1639761226_Z0_T0_C0.tif,35.296,5836.481,4401,1889,20173,206003.057,5221,4599147,1,,1275.179,,,4561.302,,,,,,,,,,,,,,,,,,,,,,
20211217,PHX3508,odr-10,L3,NGM,20211217_PHX3508_odr-10-t2A-mNG_L3 - 1.Project Maximum Z_XY1639761285_Z0_T0_C0.tif,31.892,4475.771,3460,1673,20287,142739.52,3867,3186749,1,,1291.432,,,3184.339,,,,,,,,,,,,,,,,,,,,,,
20211217,PHX3508,odr-10,L3,NGM,20211217_PHX3508_odr-10-t2A-mNG_L3 - 1.Project Maximum Z_XY1639761285_Z0_T0_C0.tif,28.263,5765.693,3925,2667,29078,162958.573,5013,3638152,1,,1291.432,,,4474.261,,,,,,,,,,,,,,,,,,,,,,
20211217,PHX3508,odr-10,L3,NGM,20211217_PHX3508_odr-10-t2A-mNG_L3 - 2.Project Maximum Z_XY1639761355_Z0_T0_C0.tif,26.427,5435.395,4407,1949,16925,143641.354,5043,3206883,1,,1271.084,,,4164.311,,,,,,,,,,,,,,,,,,,,,,
20211217,PHX3508,odr-10,L3,NGM,20211217_PHX3508_odr-10-t2A-mNG_L3 - 2.Project Maximum Z_XY1639761355_Z0_T0_C0.tif,31.175,4492.297,3996,1752,17426,140047.098,4142,3126639,1,,1271.084,,,3221.213,,,,,,,,,,,,,,,,,,,,,,
20211217,PHX3508,odr-10,L3,NGM,20211217_PHX3508_odr-10-t2A-mNG_L3 - 3.Project Maximum Z_XY1639761409_Z0_T0_C0.tif,35.027,4972.662,3544,2035,19719,174177.52,4297,3888622,1,,1299.508,,,3673.154,,,,,,,,,,,,,,,,,,,,,,
20211217,PHX3508,odr-10,L3,NGM,20211217_PHX3508_odr-10-t2A-mNG_L3 - 4.Project Maximum Z_XY1639761485_Z0_T0_C0.tif,32.295,5583.466,3840,1856,20832,180316.52,5020,4025679,1,,1294.888,,,4288.578,,,,,,,,,,,,,,,,,,,,,,
20211217,PHX3508,odr-10,L3,NGM,20211217_PHX3508_odr-10-t2A-mNG_L3 - 5.Project Maximum Z_XY1639761541_Z0_T0_C0.tif,18.275,6372.998,4156,2232,23112,116466.303,5598,2600183,1,,1301.232,,,5071.766,,,,,,,,,,,,,,,,,,,,,,
