Con 10^-5	PD 10^-5	Con 10^-6	PD 10^-6	Con 10^-7	PD 10^-7	Con 10^-8	PD 10^-8
0.086444731	0.570046788	0.421339489	0.419277027	0.294404826	0.15367376	0.017130165	0.096414765
0.275897587	0.606998114	0.169753486	0.350941318	0.607053828	0.236575966	0.01908659	0.016158979
0.549175999	0.656467311	0.693426903	0.747951752	0.039209271	0.165098673	0.063895467	0.379467714
0.191079284	0.684607483	0.530652094	0.973931336	0.478479087	0.469862788	0.170530992	0.02371295
0.634470944	0.613398931	0.524133595	0.435712944	0.281786635	0.239410567	0.044189975	0.181455638
0.358605863	0.721963567	0.322839018	1.076997969	0.778671236	0.015104593	0.021758726	0.423470849
0.329335896	0.543420985	0.860418981	0.637200695	0.377188241	0.101043158	-0.015343718	0.009608028
0.351331834	1.089864411	0.312133396	0.309365121	0.185712177	0.009041154	0.021711123	0.006451816
0.323674752	0.958107342	-0.010418806	0.432844658	0.283559116	0.617294775	-0.011741698	0.02071559
0.191785282	0.345282937	0.207774502	0.358109967	0.181490571	0.345472612	0.065985013	0.011157609
0.348475257	0.49135102	0.017815611	0.334609452	0.104569869	0.04408771	-0.013238753	0.01954578
0.549375672	0.340795582	0.505524504	0.256211017	0.211899386	0.709317984	-0.008113709	0.009915033
0.320527381	0.836839739	0.426169361	0.53447411	0.199304971	0.591723103	-0.016424294	0.099685263
0.49432534	0.802342218	0.273362411	0.287660205	0.29805043	0.329827697	-0.023685387	0.007034349
0.194851898	1.212377241	0.325542802	0.460245736	0.121289436	0.638667287	0.009934436	0.015137669
0.416521431	0.639900717	0.203518531	0.648148856	0.268429853	0.317394678	0.018480958	0.024600835
0.433068969	0.564929472	0.145236599	0.546314724		0.814183128	0.24790214	0.022519178
	0.958121312	0.276246111	0.297682174		0.372170668	0.008256494	0.034420802
	0.625640544	0.174707275	0.639689753		0.925862432	-0.010537266	0.048078017
		0.419665828	0.603063126			-0.021655013	0.103094555
		0.480357825	0.801614538			0.012283895	-0.007145555
		0.464221892	0.802485662			0.064837858	0.459168117
			0.525696719			0.189106674	0.244900533
			0.4448454				0.108822706
			0.26273508				
			0.883824138				
			0.21333973				
			0.72882652				
