animal,animal_num,genotype,cue,food,neuron,mean_pulse_delF,signal,MeanGCaMP,time,fitted,correction,delF
06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1_ImageJ_data.csv,1,WT_CON_DIA_108,DIA,OP50,GCAMP,7.012014618509092e-4,0.0019243182676265205,251.929,0.25,0.008852332183542866,nls,-0.007629215377767255
06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1_ImageJ_data.csv,1,WT_CON_DIA_108,DIA,OP50,GCAMP,7.012014618509092e-4,0.014265937536791635,252.245,0.5,0.007686363162802662,nls,0.005878372912138064
06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1_ImageJ_data.csv,1,WT_CON_DIA_108,DIA,OP50,GCAMP,7.012014618509092e-4,0.009414544435919108,252.109,0.75,0.006532189854128664,nls,0.0021811531199395348
06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1_ImageJ_data.csv,1,WT_CON_DIA_108,DIA,OP50,GCAMP,7.012014618509092e-4,0.00397448857385293,251.904,1,0.005389692924313322,nls,-0.0021164058123113007
06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1_ImageJ_data.csv,1,WT_CON_DIA_108,DIA,OP50,GCAMP,7.012014618509092e-4,0.008135725334015735,252.211,1.25,0.004258754247402574,nls,0.0031757696247622516
06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1_ImageJ_data.csv,1,WT_CON_DIA_108,DIA,OP50,GCAMP,7.012014618509092e-4,0.0037512026989174664,251.823,1.5,0.003139256892482442,nls,-8.925565541588497e-5
06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1_ImageJ_data.csv,1,WT_CON_DIA_108,DIA,OP50,GCAMP,7.012014618509092e-4,0.009373947004112452,252.127,1.75,0.0020310851115892675,nls,0.006641660430672275
06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1_ImageJ_data.csv,1,WT_CON_DIA_108,DIA,OP50,GCAMP,7.012014618509092e-4,-0.0024602043674717493,251.54,2,9.341243277421474e-4,nls,-0.004095530157064806
06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1_ImageJ_data.csv,1,WT_CON_DIA_108,DIA,OP50,GCAMP,7.012014618509092e-4,-0.0011610865496650467,251.661,2.25,-1.5173887690345111e-4,nls,-0.0017105491346125047
06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1/06052020_CX14887_kyIs598_DIA108_114nM_Control_adult_Animal_1_ImageJ_data.csv,1,WT_CON_DIA_108,DIA,OP50,GCAMP,7.012014618509092e-4,0.006917802379821772,251.817,2.5,-0.0012266167727823102,nls,0.007443217690753173
