animal,animal_num,genotype,cue,food,neuron,mean_pulse_delF,signal,MeanGCaMP,time,fitted,correction,delF
06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,1,WT_PD_DIA_107,DIA,OP50,GCAMP,0.0019110962994362626,0.060862116943807686,281.125,0.25,0.0068013891066812104,nls,0.052149631537690214
06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,1,WT_PD_DIA_107,DIA,OP50,GCAMP,0.0019110962994362626,0.05758170708883953,280.755,0.5,0.0065256357423894296,nls,0.04914497504701384
06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,1,WT_PD_DIA_107,DIA,OP50,GCAMP,0.0019110962994362626,0.04110956358632934,279.473,0.75,0.00625021322513844,nls,0.03294825406175464
06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,1,WT_PD_DIA_107,DIA,OP50,GCAMP,0.0019110962994362626,0.023221516684879578,278.206,1,0.005975121157980184,nls,0.01533529922746313
06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,1,WT_PD_DIA_107,DIA,OP50,GCAMP,0.0019110962994362626,0.006230675897609004,277.14,1.25,0.005700359144442835,nls,-0.0013807795462700931
06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,1,WT_PD_DIA_107,DIA,OP50,GCAMP,0.0019110962994362626,-0.003189988301273513,276.373,1.5,0.0054259267885302664,nls,-0.010527011389240042
06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,1,WT_PD_DIA_107,DIA,OP50,GCAMP,0.0019110962994362626,-0.005699361651868348,276.199,1.75,0.00515182369472153,nls,-0.012762281646026141
06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,1,WT_PD_DIA_107,DIA,OP50,GCAMP,0.0019110962994362626,-0.002446989487968427,276.257,2,0.004878049467970075,nls,-0.009236135255374764
06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,1,WT_PD_DIA_107,DIA,OP50,GCAMP,0.0019110962994362626,-0.007325547733818907,276.044,2.25,0.004604603713703415,nls,-0.013841247746958584
06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,1,WT_PD_DIA_107,DIA,OP50,GCAMP,0.0019110962994362626,-0.006554511229445584,276.093,2.5,0.004331486037822491,nls,-0.012797093566704337
06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,1,WT_PD_DIA_107,DIA,OP50,GCAMP,0.0019110962994362626,-0.009176035344313367,275.608,2.75,0.004058696046701088,nls,-0.015145827690450718
06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,1,WT_PD_DIA_107,DIA,OP50,GCAMP,0.0019110962994362626,-0.017124720762120627,275.426,3,0.0037862333471851417,nls,-0.02282205040874203
06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,1,WT_PD_DIA_107,DIA,OP50,GCAMP,0.0019110962994362626,-0.019395773738637045,275.248,3.25,0.0035140975465924595,nls,-0.024820967584665767
06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,1,WT_PD_DIA_107,DIA,OP50,GCAMP,0.0019110962994362626,-0.01699855115231436,275.289,3.5,0.0032422882527118335,nls,-0.022151935704462455
06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,1,WT_PD_DIA_107,DIA,OP50,GCAMP,0.0019110962994362626,-0.015134044696284984,275.723,3.75,0.002970805073802707,nls,-0.020015946069523952
06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1/06122020_CX14887_kyIs598_DIA107_1uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,1,WT_PD_DIA_107,DIA,OP50,GCAMP,0.0019110962994362626,-0.015708817363181048,275.463,4,0.002699647618594564,nls,-0.020319561281211873
