,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ZK795.2,407.0490088,-8.635603649,2.430965544,-3.599347327,NA,NA
ZK795.3,28.20219189,-6.809685002,2.45727847,-7.91456899,NA,NA
ZK809.1,10.94411123,-1.641821332,2.41112567,-0.680365923,NA,NA
ZK809.3,219.775372,1.9381763,2.317125415,0.837094368,0.402539526,0.830899147
ZK809.5,316.9547259,-2.079441894,2.400586215,-0.867248249,NA,NA
ZK809.8,355.6923371,1.124635586,2.400411814,0.468610112,0.639348348,0.973926826
ZK813.1,89.50841902,-0.91119858,2.401193613,-0.379627841,NA,NA
ZK813.2,295.9049806,-6.954452618,2.412930494,-2.917105247,NA,NA
ZK813.5,1.913584932,3.642317423,2.475828316,1.504453883,NA,NA
ZK813.6,129.506765,7.708012008,2.447196568,3.25970135,NA,NA
ZK813.7,745.3977509,-0.35389444,2.400233894,-0.147434598,0.882788999,0.993932324
ZK816.1,61.88025917,7.59591859,2.456338734,8.00089456,NA,NA
ZK822.2,53.342693,-7.320916402,2.45389083,-3.484331685,NA,NA
ZK822.4,7334.175312,-0.801584915,1.621103158,-0.494462275,0.620979743,0.9678365
ZK822.5,90.92559634,-1.848858248,2.401584435,-0.770333904,NA,NA
ZK822.6,1144.713648,10.94782888,2.451413609,9.349307331,8.82E-21,1.44E-18
ZK829.1,242.1444052,7.600672698,2.426817537,3.14864736,NA,NA
ZK829.3,572.6470287,10.15053609,2.452351712,9.030397256,NA,NA
ZK829.7,928.0555806,3.071800781,2.400413339,1.28326335,0.199399828,0.538036925
ZK84.1,1152.288708,-0.091915856,2.400191182,-0.038279821,0.969464579,0.996962678
ZK84.2,187.6948033,-0.063120031,2.400578541,-0.026273869,NA,NA
ZK84.5,190.3918288,8.884108242,2.454094946,8.521626938,NA,NA
ZK849.1,271.5088332,9.292487611,2.453493153,8.684256621,NA,NA
ZK849.6,189.8685912,-8.120984827,2.440931933,-3.514866003,NA,NA
ZK856.14,566.4604786,8.8609112,2.428823119,3.771659107,NA,NA
ZK856.5,492.0792081,-5.152318689,2.402246957,-2.159682141,NA,NA
ZK856.7,172.001552,-1.937556,2.24312577,-0.864273813,0.387437492,0.813199002
ZK858.2,1.178577317,-3.218070899,2.483762075,-1.348092198,NA,NA
ZK858.5,3.99983228,4.473858176,2.468010736,1.857087363,0.063298726,0.228200916
ZK858.6,875.6158206,0.297885104,2.400216728,0.12410894,NA,NA
ZK858.8,160.6252056,-8.148364425,2.44548939,-3.561856851,NA,NA
ZK863.8,219.4678463,8.135282916,2.441163416,3.44471778,NA,NA
ZK867.9,1.113553208,3.044478742,2.48462366,1.249267248,NA,NA
ZK896.1,10.15681317,-5.633592317,2.461151845,-2.371966929,NA,NA
ZK896.4,337.4861543,-8.078583807,2.425131508,-3.398341613,NA,NA
ZK899.2,1191.276518,6.376234905,2.40242596,2.686257439,NA,NA
