Date,Strain ID,Receptor,Condition,Plate,File name/#,Area,Mean,Mode,Min,Max,Integrated Density,Median,Raw Integrated Density,Ch,Mean 1,Mean 2,Mean 3,Backsub Mean Fluorescence,Average Background mean fluorescence,RAW CTCF or corrected total cell fluorescence = Raw integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),,ECTOPIC EXPRESSION (NOT IN AWA) TRUE/FALSE,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Control,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_control_adult.Project Maximum Z_XY1632843318_Z0_T0_merged.tif:2,33.997,3438.282,2307,1804,56699,116890.613,2674,2609656,2,1296.602,,,2141.68,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Control,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_control_adult.Project Maximum Z_XY1632843318_Z0_T0_merged.tif:2,41.208,3218.395,1993,1801,9804,132624.417,3046,2960923,2,1296.602,,,1921.793,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Control,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_control_adult - 1.Project Maximum Z_XY1632843393_Z0_T0_merged.tif:2,40.581,2678.243,2497,2072,4627,108686.229,2619,2426488,2,1399.784,,,1278.459,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Control,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_control_adult - 1.Project Maximum Z_XY1632843393_Z0_T0_merged.tif:2,41.97,3419.058,3596,2251,8720,143496.856,3291,3203657,2,1399.784,,,2019.274,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Control,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_control_adult - 2.Project Maximum Z_XY1632843467_Z0_T0_merged.tif:2,46.807,4678.756,2713,2175,13535,218999.468,4751,4889300,2,1313.004,,,3365.752,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Control,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_control_adult - 3.Project Maximum Z_XY1632843520_Z0_T0_merged.tif:2,72.473,5225.627,2125,1899,20210,378715.713,4731,8455065,2,1300.34,,,3925.287,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Control,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_control_adult - 3.Project Maximum Z_XY1632843520_Z0_T0_merged.tif:2,69.337,5558.429,2341,2081,42508,385406.814,3935,8604448,2,1300.34,,,4258.089,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Control,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_control_adult - 4.Project Maximum Z_XY1632843595_Z0_T0_merged.tif:2,44.792,2743.38,2613,1991,3982,122880.322,2697,2743380,2,1313.174,,,1430.206,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Control,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_control_adult - 4.Project Maximum Z_XY1632843595_Z0_T0_merged.tif:2,33.011,3634.814,2618,2057,13742,119990.28,3313,2678858,2,1313.174,,,2321.64,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Control,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_control_adult - 4.Project Maximum Z_XY1632843595_Z0_T0_merged.tif:2,59.483,2671.34,2653,1828,5919,158899.919,2652,3547540,2,1313.174,,,1358.166,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Control,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_control_adult - 4.Project Maximum Z_XY1632843595_Z0_T0_merged.tif:2,48.509,3251.944,2026,1766,9086,157749.447,3226,3521855,2,1313.174,,,1938.77,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Control,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_control_adult - 5.Project Maximum Z_XY1632843682_Z0_T0_merged.tif:2,80.446,7395.575,2662,2170,44131,594942.001,5917,13282452,2,1293.861,,,6101.714,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Post-dauer,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult.Project Maximum Z_XY1632842441_Z0_T0_merged.tif:2,50.346,4000.152,4037,1719,17162,201390.599,3730,4496171,2,1295.463,,,2704.689,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Post-dauer,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult.Project Maximum Z_XY1632842441_Z0_T0_merged.tif:2,50.301,3641.479,2100,1784,10721,183169.833,3497,4089381,2,1295.463,,,2346.016,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Post-dauer,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 1.Project Maximum Z_XY1632842503_Z0_T0_merged.tif:2,49.226,3376.243,3141,1898,11678,166198.751,3240,3710491,2,1327.291,,,2048.952,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Post-dauer,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 2.Project Maximum Z_XY1632842564_Z0_T0_merged.tif:2,55.989,7041.999,2394,2161,30152,394277.831,6728,8802499,2,1343.29,,,5698.709,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Post-dauer,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 2.Project Maximum Z_XY1632842564_Z0_T0_merged.tif:2,21.858,5569.17,2382,2025,16951,121732.538,5081,2717755,2,1343.29,,,4225.88,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Post-dauer,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 3.Project Maximum Z_XY1632842647_Z0_T0_merged.tif:2,43.851,4877.654,2763,1789,24667,213889.779,4170,4775223,2,1274.381,,,3603.273,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Post-dauer,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 3.Project Maximum Z_XY1632842647_Z0_T0_merged.tif:2,50.435,5146.677,2437,1806,27750,259574.278,4650,5795158,2,1274.381,,,3872.296,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Post-dauer,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 4.Project Maximum Z_XY1632842780_Z0_T0_merged.tif:2,65.62,5362.764,2838,1711,28898,351902.757,4441,7856449,2,1343.242,,,4019.522,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Post-dauer,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 5.Project Maximum Z_XY1632842837_Z0_T0_merged.tif:2,50.794,5534.314,3610,1889,21250,281108.009,5188,6275912,2,1299.928,,,4234.386,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Post-dauer,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 5.Project Maximum Z_XY1632842837_Z0_T0_merged.tif:2,55.945,5521.733,2297,1814,28645,308911.621,4951,6896645,2,1299.928,,,4221.805,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Post-dauer,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 6.Project Maximum Z_XY1632842922_Z0_T0_merged.tif:2,45.822,7210.853,5846,1863,35171,330414.177,6425,7376703,2,1253.871,,,5956.982,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Post-dauer,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 7.Project Maximum Z_XY1632842960_Z0_T0_merged.tif:2,47.031,5748.836,2128,1886,30692,270374.424,5121,6036278,2,1292.032,,,4456.804,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Post-dauer,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 7.Project Maximum Z_XY1632842960_Z0_T0_merged.tif:2,47.524,4961.013,3112,1786,22182,235766.524,4455,5263635,2,1292.032,,,3668.981,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Post-dauer,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 8.Project Maximum Z_XY1632843026_Z0_T0_merged.tif:2,49.271,9187.076,8120,4622,19512,452654.024,8626,10105784,2,1612.601,,,7574.475,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Post-dauer,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 8.Project Maximum Z_XY1632843026_Z0_T0_merged.tif:2,51.152,6337.37,7713,2652,21459,324169.066,5855,7237277,2,1612.601,,,4724.769,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX2320,srd-28,Post-dauer,NGM,20210928_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 9.Project Maximum Z_XY1632843106_Z0_T0_merged.tif:2,49.539,3636.418,2259,1849,13547,180146.267,3359,4021878,2,1261.969,,,2374.449,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2320,srd-28,Post-dauer,NGM,20211001_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult.Project Maximum Z_XY1633104712_Z0_T0_merged.tif:2,56.661,3253.283,2438,1709,11163,184335.399,3051,4115403,2,1303.085,,,1950.198,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2320,srd-28,Post-dauer,NGM,20211001_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult.Project Maximum Z_XY1633104712_Z0_T0_merged.tif:2,42.328,3827.763,4125,1841,12665,162021.713,3680,3617236,2,1303.085,,,2524.678,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2320,srd-28,Post-dauer,NGM,20211001_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult.Project Maximum Z_XY1633104712_Z0_T0_merged.tif:2,40.492,5382.091,4134,2010,21637,217929.397,4777,4865410,2,1303.085,,,4079.006,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2320,srd-28,Post-dauer,NGM,20211001_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 1.Project Maximum Z_XY1633104831_Z0_T0_merged.tif:2,49.495,4960.911,2124,1797,28328,245538.792,4361,5481807,2,1326.826,,,3634.085,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2320,srd-28,Post-dauer,NGM,20211001_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 1.Project Maximum Z_XY1633104831_Z0_T0_merged.tif:2,42.955,4528.201,2023,1783,21673,194509.448,4060,4342545,2,1326.826,,,3201.375,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2320,srd-28,Post-dauer,NGM,20211001_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 2.Project Maximum Z_XY1633105000_Z0_T0_merged.tif:2,62.439,5121.232,1876,1689,29548,319766.994,4357,7138998,2,1290.291,,,3830.941,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2320,srd-28,Post-dauer,NGM,20211001_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 2.Project Maximum Z_XY1633105000_Z0_T0_merged.tif:2,52.899,3356.497,2384,1907,18885,177554.85,3033,3964023,2,1290.291,,,2066.206,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2320,srd-28,Post-dauer,NGM,20211001_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 3.Project Maximum Z_XY1633105075_Z0_T0_merged.tif:2,91.912,5941.935,1995,1726,41460,546137.006,4428,12192850,2,1234.263,,,4707.672,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2320,srd-28,Post-dauer,NGM,20211001_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 3.Project Maximum Z_XY1633105075_Z0_T0_merged.tif:2,103.558,6052.189,2198,1789,64535,626753.428,3632,13992662,2,1234.263,,,4817.926,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2320,srd-28,Post-dauer,NGM,20211001_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 4.Project Maximum Z_XY1633105134_Z0_T0_merged.tif:2,55.273,6289.625,2199,1910,30741,347645.228,5520,7761397,2,1267.32,,,5022.305,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2320,srd-28,Post-dauer,NGM,20211001_PHX2320_srd-28-t2A-mNG_TKR01_PD_adult - 4.Project Maximum Z_XY1633105134_Z0_T0_merged.tif:2,52.899,3626.047,3941,1803,11824,191813.757,3308,4282362,2,1267.32,,,2358.727,,,,,,,,,,,,,,,,,,,,,,
20210921,PHX2320,srd-28,Control,NGM,20210921_PHX2320_srd-28-t2A-mNG_TKR01_control_adult.Project Maximum Z_XY1632246247_Z0_T0_merged.tif:2,67.501,5312.703,6468,2096,14791,358612.312,5382,8006244,2,1318.331,,,3994.372,,,,,,,,,,,,,,,,,,,,,,
