,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
21ur-10153,12.19860932,2.247885623,1.48081553,0.034848616,0.972200454,0.982260945
21ur-10191,0.75334565,3.156764579,0.936074267,-2.646350923,0.008136536,0.035425643
21ur-1024,0.688850309,2.936426067,1.138419507,2.58178816,0.00982899,0.038215713
21ur-10296,2.366144604,1.129819675,1.063210639,-3.040348786,0.002363043,0.019118502
21ur-10350,0.721019826,0.53626471,0.997482647,0.535339099,0.592415394,0.718339772
21ur-10432,1.315147652,3.927744073,1.147832982,3.405388678,0.000660699,0.009068339
21ur-10437,0.254687628,2.441530635,1.602253851,1.502076876,0.133077256,0.233674953
21ur-10697,6.427233614,-2.414219075,1.399083967,-1.710543653,0.087165388,0.167268507
21ur-10754,0.494670694,3.061146681,1.160412475,2.645371446,0.008160129,0.03545295
21ur-10763,0.419337333,2.048475974,1.133022252,1.799555955,0.071930781,0.144400732
21ur-10895,21.94015597,-0.527929213,1.549313679,-0.340206349,0.733701138,0.827391916
21ur-10957,2.675709027,2.147687341,0.935935019,-4.114203032,3.89E-05,0.001082156
21ur-10983,0.670909105,2.311814745,1.935930304,1.250498536,0.21111749,0.337020049
21ur-11188,1.135173585,3.545957335,1.155223705,3.062359175,0.002195998,0.018615568
21ur-11344,0.127575897,2.328496118,0.932144832,-0.717781616,0.47289195,0.61404232
21ur-1139,5.496722858,6.117703945,1.197795442,5.105940534,3.29E-07,3.31E-05
21ur-11435,3.782457958,1.984907898,1.076713837,-3.443866473,0.000573459,0.008050776
21ur-11459,2.027353928,1.657877141,0.919142822,1.800795338,0.071735144,0.144146514
21ur-1152,0.448940874,1.663696595,1.122130219,1.478835102,0.139184392,0.242296829
21ur-11744,9.331624406,0.605391694,1.478804373,0.410070201,0.681754452,0.789459562
21ur-11781,4.297513166,4.719374916,1.297492025,3.535036919,0.000407718,0.006171908
21ur-11817,0.914663437,3.159934094,1.196426677,2.653449217,0.007967376,0.035098794
21ur-11897,9.519871174,0.019804246,1.036388431,0.019117162,0.984747641,0.989315559
