Date,Strain ID,Receptor,Condition,Plate,File name/#,Area,Mean,Mode,Min,Max,Integrated Density,Median,Raw Integrated Density,Ch,Mean 1,Mean 2,Mean 3,Backsub Mean Fluorescence,Average Background mean fluorescence,RAW CTCF or corrected total cell fluorescence = Raw integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),,ECTOPIC EXPRESSION (NOT IN AWA) TRUE/FALSE,,,,,,,,,,,,,,,,,
20210928,PHX1869,str-44,Control,NGM,20210928_PHX1869_str44-t2A-mNG_TKR01_control_adult.Project Maximum Z_XY1632846449_Z0_T0_merged.tif:2,78.161,3647.739,4079,1909,16257,285112.018,3380,6365304,2,1376.124,,,2271.615,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX1869,str-44,Control,NGM,20210928_PHX1869_str44-t2A-mNG_TKR01_control_adult - 1.Project Maximum Z_XY1632846548_Z0_T0_merged.tif:2,61.723,2676.885,2194,1863,9459,165224.803,2542,3688747,2,1398.275,,,1278.61,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX1869,str-44,Control,NGM,20210928_PHX1869_str44-t2A-mNG_TKR01_control_adult - 1.Project Maximum Z_XY1632846548_Z0_T0_merged.tif:2,52.272,3861.478,2558,1948,14648,201846.309,3509,4506345,2,1398.275,,,2463.203,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX1869,str-44,Control,NGM,20210928_PHX1869_str44-t2A-mNG_TKR01_control_adult - 2.Project Maximum Z_XY1632846650_Z0_T0_merged.tif:2,64.186,3143.224,2861,1645,15787,201752.023,2871,4504240,2,1270.282,,,1872.942,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX1869,str-44,Control,NGM,20210928_PHX1869_str44-t2A-mNG_TKR01_control_adult - 2.Project Maximum Z_XY1632846650_Z0_T0_merged.tif:2,59.214,3394.291,4620,1683,13210,200991.148,3066,4487253,2,1270.282,,,2124.009,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX1869,str-44,Control,NGM,20210928_PHX1869_str44-t2A-mNG_TKR01_control_adult - 3.Project Maximum Z_XY1632846710_Z0_T0_merged.tif:2,48.599,3098.935,3517,1797,9187,150604.742,3002,3362345,2,1301.934,,,1797.001,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX1869,str-44,Control,NGM,20210928_PHX1869_str44-t2A-mNG_TKR01_control_adult - 3.Project Maximum Z_XY1632846710_Z0_T0_merged.tif:2,52.406,3669.954,2387,1824,8600,192328.143,3565,4293846,2,1301.934,,,2368.02,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX1869,str-44,Control,NGM,20210928_PHX1869_str44-t2A-mNG_TKR01_control_adult - 4.Project Maximum Z_XY1632846799_Z0_T0_merged.tif:2,82.193,4967.119,2148,1865,19421,408260.149,4331,9114663,2,1453.721,,,3513.398,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX1869,str-44,Control,NGM,20210928_PHX1869_str44-t2A-mNG_TKR01_control_adult - 4.Project Maximum Z_XY1632846799_Z0_T0_merged.tif:2,58.632,3748.853,2159,1912,10539,219803.432,3409,4907249,2,1453.721,,,2295.132,,,,,,,,,,,,,,,,,,,,,,
20210928,PHX1869,str-44,Post-dauer,NGM,20210928_PHX1869_str44-t2A-mNG_TKR01_PD_adult - 1.Project Maximum Z_XY1632845610_Z0_T0_merged.tif:2,87.254,10643.917,65383,2036,65383,928724.325,5138,20734351,2,1367.466,,,9276.451,,,,,,,,,,,,,,,,,,,,,,
