,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
23,C02B8.3,472.7154077,10.18247569,2.348823353,4.41938897,9.90E-06,0.000107944
24,C03A3.2,1779.096339,-11.27700063,2.442877804,-5.15736084,2.50E-07,3.47E-06
25,C03H12.1,87.70238361,7.460409247,2.451754433,3.234472432,0.001218677,0.007162463
26,C04F5.8,86.73157857,-5.277874689,2.38395278,-2.218966846,0.02648898,0.110048398
27,C05C12.4,265.1782854,-8.057902523,2.431093445,-3.356740949,0.00078867,0.004891496
28,C05C12.5,1497.717158,10.41983498,2.433904761,4.527330719,5.97E-06,6.84E-05
29,C05D11.1,1185.039076,-4.996269526,2.400909809,-2.095678377,0.036110731,0.14436938
30,C05D12.3,259.2159068,-8.472583523,2.439589307,-3.66503002,0.00024731,0.001791397
31,C05D2.10,926.7239068,6.965883099,2.404669498,2.937780298,0.003305712,0.017549985
32,C06C3.10,53.77097666,7.433142204,2.456672072,7.935726378,2.09E-15,3.16E-14
33,C06E7.2,84.77238353,-7.84790283,2.172806811,-3.716383877,0.000202094,0.001534667
34,C07E3.3,850.0505392,-7.13041792,2.300975434,-3.131289201,0.001740407,0.00983142
35,C08B11.9,62.18624244,-7.716606645,2.455269781,-8.080751557,6.44E-16,1.01E-14
36,C08E8.4,62.71491424,-8.111924494,2.249634519,-3.687040454,0.000226877,0.001693385
37,C08F8.2,182.0861133,8.547589794,2.452176357,3.869717423,0.000108962,0.000923938
38,C09E7.7,304.7607344,-9.541335026,2.452408429,-8.935794151,4.04E-19,1.69E-17
39,C09E8.1,114.496967,8.300506887,2.455036724,8.128710721,4.34E-16,6.90E-15
40,C09G4.4,333.7203881,9.529552335,2.453162275,8.774083151,1.72E-18,4.97E-17
41,C10A4.9,1508.039145,11.53401474,2.35266991,4.994072791,5.91E-07,7.84E-06
42,C10C5.7,156.849243,8.661978804,2.45444108,8.432250553,3.39E-17,6.72E-16
43,C10G11.8,2038.647881,9.886551195,1.783896805,5.526395437,3.27E-08,4.62E-07
44,C10G8.4,375.4587476,-9.107661581,2.441988112,-3.969409231,7.21E-05,0.000639983
45,C11G10.1,556.068416,10.1167283,2.452393912,8.789943764,1.50E-18,4.42E-17
46,C11G10.9,47.32801043,6.387352881,2.448550323,2.547936791,0.01083621,0.050646383
47,C14A4.12,2105.089669,11.28045907,2.442341866,5.038259765,4.70E-07,6.32E-06
48,C14A4.9,140.6167448,-8.652810316,2.453662997,-8.640140215,5.61E-18,1.34E-16
49,C14A6.13,63.83867939,-7.746638261,2.455212192,-8.286262112,1.17E-16,2.06E-15
50,C15A11.7,124.8871596,-5.853049875,2.03046686,-2.88683013,0.003891443,0.020370405
51,C15H7.3,280.1357239,-6.968710309,2.163160523,-3.22778154,0.001247542,0.00729933
52,C16C10.8,376.6883189,-6.236451645,2.406155578,-2.614031694,0.008948074,0.042789448
53,C16D9.6,62.71660444,-7.725391278,2.455252887,-8.277633148,1.26E-16,2.19E-15
54,C17D12.5,166.7877748,5.100692201,2.406625824,2.133589411,0.032876406,0.13306471
55,C18B2.3,1189.957171,10.99245839,2.451364128,9.366066774,7.53E-21,1.42E-18
56,C18E9.5,1068.616065,-8.210426295,2.276610734,-3.6446934,0.000267711,0.001917942
57,C18H9.3,280.2965986,-6.47277017,2.409692117,-2.705846422,0.006813055,0.03328813
58,C23H4.7,11.73450264,-5.948376795,2.370093332,-2.587423242,0.009669674,0.045683681
59,C25E10.13,404.4290339,9.750400366,2.452865128,8.869964798,7.32E-19,2.59E-17
60,C25F6.7,593.1186426,8.547601572,2.302033657,3.733085623,0.000189148,0.001461803
61,C25G4.2,44.11497096,-7.325133737,2.456067234,-3.078466802,0.002080687,0.011554141
62,C27C12.4,2126.483663,-11.66241982,2.445263804,-9.875631508,5.31E-23,6.69E-20
63,C28C12.12,79.78497928,7.451935363,2.28417461,3.377254858,0.000732132,0.004591613
64,C28G1.5,262.8660329,-9.672436791,2.321178426,-4.263790945,2.01E-05,0.000207652
65,C29E4.14,152.1246239,-8.743068728,2.453525424,-8.67905253,3.99E-18,9.85E-17
66,C29F3.3,267.3702303,-8.726072933,2.443585941,-3.721525504,0.000198023,0.001513151
