,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,21ur-10697,33.66514849,-1.985834421,0.626291804,-3.160773711,0.001573507,0.028827984
2,21ur-14295,28.48578316,-2.615019519,0.764023263,-3.437608403,0.000586876,0.015379717
3,21ur-1600,134.1158539,-2.687012358,0.724152996,-3.758097048,0.00017121,0.00659971
4,B0024.4,4873.328814,-2.331858604,0.523060323,-4.460128272,8.19E-06,0.000702684
5,B0034.1,129.5438444,-1.657599391,0.500211892,-3.310750282,0.000930462,0.020866857
6,B0035.13,30149.21587,-1.578341133,0.30588169,-5.159981684,2.47E-07,4.86E-05
7,B0035.21,35.37017594,-1.584906329,0.455277237,-3.466156759,0.000527955,0.014451119
8,B0213.24,7.87158684,2.204080583,0.7339262,2.928069365,0.003410739,0.047504892
9,B0222.10,71.30789243,1.609549236,0.530562948,3.028631987,0.002456637,0.03799222
10,B0272.4,418.5351377,1.897885758,0.404683601,4.688949799,2.75E-06,0.000312624
11,B0281.5,23.84811582,-2.478810707,0.785373601,-3.282682739,0.001028243,0.021969668
12,B0310.6,623.3594533,-1.831711379,0.470281612,-3.894690793,9.83E-05,0.004454237
13,B0334.13,691.7519061,-3.231201101,0.691059105,-4.729028383,2.26E-06,0.000270432
14,B0403.5,475.0766803,-2.302978816,0.651529646,-3.545271407,0.000392209,0.011891751
15,B0454.8,65.54821109,-2.041406235,0.555590044,-3.671429357,0.000241198,0.008461086
16,B0511.11,557.6469639,-1.695529043,0.461979387,-3.67015198,0.000242406,0.008462468
17,B0513.4,1375.428471,-2.373292751,0.626097582,-3.799718638,0.00014486,0.005892403
18,B0563.10,37.68644531,-2.672091291,0.738297551,-3.641003925,0.000271577,0.00918844
19,C01B10.44,36.67233454,-2.621629365,0.464679677,-5.559425008,2.71E-08,9.07E-06
20,C02E7.7,4776.985238,-2.065953678,0.659334841,-3.143191856,0.001671163,0.030129199
21,C03C10.2,131.4140368,-1.656264766,0.337513209,-4.903259138,9.43E-07,0.000141253
22,C03G6.6,63.13376573,-3.698495281,0.674522488,-5.351863671,8.71E-08,2.32E-05
23,C04B4.2,48.92847336,-2.264604025,0.769791593,-3.028487317,0.002457814,0.03799222
24,C04E7.5,16.55659898,-2.098027259,0.791723589,-3.156462535,0.001596954,0.029227972
25,C04G6.2,5262.512883,-2.181522726,0.655547821,-3.338822629,0.000841343,0.019869173
26,C05B5.2,3935.005894,-1.819788155,0.536471401,-3.393489711,0.000690082,0.017229194
