,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
27,C05C8.1,956.4966595,-1.806480173,0.224664196,-8.039414307,9.03E-16,1.82E-12
28,C05E7.2,2866.014482,-3.356578586,0.669181489,-5.064816173,4.09E-07,7.18E-05
29,C06A1.6,53.48779257,-2.929909758,0.746351882,-3.994659832,6.48E-05,0.003341063
30,C06A1.7,113.8113795,-2.91179805,0.632195691,-4.598045565,4.26E-06,0.000446219
31,C06B3.1,61.82738054,2.453435988,0.771475407,3.30548349,0.000948127,0.02105338
32,C06B3.16,11.76621129,-2.442134824,0.704295374,-3.331174932,0.000864802,0.020043262
33,C06C6.7,286.1487619,-2.040234993,0.570325999,-3.57941009,0.000344371,0.010916732
34,C06C6.8,179.0378765,-2.205437558,0.458879508,-4.802221605,1.57E-06,0.000200022
35,C06E8.5,306.7255438,-2.83050976,0.667819423,-4.256839692,2.07E-05,0.001426998
36,C08B6.14,15.60035615,2.055417383,0.674087342,3.029079942,0.002452998,0.037982644
37,C08E8.10,30.88606843,2.017170523,0.531587757,3.778379149,0.000157852,0.006252269
38,C08F1.11,10.51556988,1.871650885,0.778308402,3.18017475,0.001471863,0.027752277
39,C09B8.4,140.2314859,1.884675677,0.599334793,3.145770877,0.001656497,0.029962954
40,C10A4.4,29.74733912,-2.239658197,0.767319249,-2.956911746,0.00310737,0.044534056
41,C10C5.4,972.8363408,-1.663970517,0.535768852,-3.106390369,0.001893865,0.032586363
42,C10F3.7,113.1430536,-2.456215667,0.560321988,-4.374365124,1.22E-05,0.00093015
43,C10G11.8,7548.981341,-1.538271106,0.485970242,-3.165784987,0.001546651,0.02862569
44,C10G8.3,180.283034,-2.815295665,0.612410443,-4.601577612,4.19E-06,0.000441268
45,C10H11.7,292.1828463,-1.661525628,0.569224465,-2.920555408,0.003494081,0.048353481
46,C11E4.7,282.6572051,-3.110081217,0.682363924,-4.585908809,4.52E-06,0.000467539
47,C13A2.9,30.09970847,-3.893713536,0.691435525,-5.076811719,3.84E-07,6.88E-05
48,C14F11.4,6559.581558,-2.152590241,0.684439669,-3.161084318,0.00157183,0.028827984
49,C15A11.4,183.3529855,-2.353656796,0.694402262,-3.407804273,0.000654879,0.016648814
50,C15F1.1,312.3475141,-1.765317375,0.56335574,-3.134150447,0.001723525,0.030827589
51,C16D9.5,899.1796315,-1.770902741,0.399771465,-4.429600867,9.44E-06,0.00077676
52,C17B7.5,1885.385037,2.776280824,0.640160823,4.354110695,1.34E-05,0.001003503
53,C17E7.4,26.60463164,-2.376516955,0.793152188,-3.269641823,0.001076837,0.022430189
54,C17F3.1,2206.578326,-1.671201918,0.566120494,-2.953595949,0.00314095,0.044836825
55,C17F4.12,434.2873641,-3.203555465,0.404564706,-7.905819757,2.66E-15,4.38E-12
56,C17F4.3,241.0348925,-2.687802846,0.639469708,-4.213074145,2.52E-05,0.001652164
57,C17G1.2,164.1767357,-2.527718143,0.705913575,-3.606890909,0.000309888,0.010125055
58,C17H12.12,1237.146408,-1.759124815,0.482875631,-3.643470171,0.000268987,0.009152125
59,C18E9.7,178.4509576,-1.943456276,0.432583257,-4.488380918,7.18E-06,0.000639924
60,C18G1.9,197.0532971,-1.929600831,0.460028551,-4.191810776,2.77E-05,0.001782638
61,C23G10.11,40.36571806,-1.789137914,0.60932493,-2.919745759,0.003503171,0.04840526
62,C23H4.3,1080.349093,-1.584353912,0.340826905,-4.648275425,3.35E-06,0.000376323
63,C25E10.17,67.02668528,-1.589249475,0.478855194,-3.313380995,0.000921753,0.020777902
64,C26C6.4,68.8214541,-1.562206372,0.531360574,-2.933304456,0.003353748,0.046960934
65,C26C6.6,277.3729512,-1.931473507,0.552236082,-3.49886374,0.000467245,0.013424773
66,C26E6.1,31.85656381,-2.041052833,0.676936964,-3.01640779,0.00255789,0.03910504
67,C26F1.1,668.9808668,-2.45371781,0.538020654,-4.561606153,5.08E-06,0.000509687
68,C27A7.6,556.453791,-2.006786214,0.629640953,-3.192188471,0.001411992,0.026931993
69,C27D9.2,648.4193963,-3.00997085,0.676008106,-4.485110479,7.29E-06,0.000644155
70,C28D4.4,298.3480523,-1.785113699,0.408414589,-4.369336172,1.25E-05,0.000946721
71,C28D4.5,1172.197498,-1.748419016,0.494188155,-3.538517183,0.000402381,0.012058775
72,C28D4.7,1187.253706,-1.982920967,0.510754757,-3.883327393,0.000103037,0.004627958
73,C28D4.8,283.4393832,-2.211156425,0.370512778,-5.963375619,2.47E-09,1.09E-06
74,C30G12.3,14.47870658,2.438627335,0.614697083,3.874002306,0.000107062,0.004773243
75,C30H6.5,2981.219847,-3.04372349,0.659844843,-4.644301502,3.41E-06,0.000381243
76,C31B8.12,18.04341181,-2.809927421,0.772760191,-3.58903548,0.000331904,0.01070907
77,C31H1.5,1910.752305,-2.008546634,0.479789917,-4.187040999,2.83E-05,0.001794951
78,C33F10.11,3645.90154,-1.814589265,0.528753387,-3.433018623,0.000596901,0.015587977
79,C33G8.13,48.88572468,-2.076592815,0.696900456,-2.973879173,0.002940608,0.043029117
80,C33H5.1,535.2223332,-7.116382602,0.614169554,-9.999949781,1.52E-23,1.38E-19
81,C33H5.2,339.448545,-4.391646142,0.656758438,-6.684237408,2.32E-11,1.50E-08
82,C34B2.9,262.0453859,-1.706825143,0.516857412,-3.302532204,0.000958161,0.021150817
83,C34C12.7,820.7513791,-1.688313384,0.448235593,-3.765926865,0.000165932,0.006459229
84,C34D4.3,3572.43641,-1.672475836,0.518710657,-3.22512494,0.001259177,0.024882493
85,C35B1.4,4714.725742,-2.979371498,0.735197728,-4.158513096,3.20E-05,0.001989265
86,C35E7.3,7.413667517,2.430428314,0.784774025,3.000725502,0.002693372,0.040525964
87,C36F7.5,194.0256165,-1.517906095,0.489441091,-3.101772308,0.001923659,0.0326643
88,C39B5.5,876.5521929,-2.289027153,0.67769713,-3.394948431,0.000686415,0.017185066
89,C39D10.7,2298.100205,-2.90213428,0.643593732,-4.530856795,5.87E-06,0.000565296
90,C40C9.3,306.3144864,-2.299881362,0.713079393,-3.254753528,0.001134908,0.023317789
91,C40H1.7,808.0669239,-1.748068976,0.501905127,-3.482798882,0.000496201,0.013911835
92,C41G11.1,622.8779577,-1.841148119,0.577272816,-3.190776682,0.001418909,0.027035446
93,C41H7.4,335.3765074,1.899683044,0.402261291,4.722013007,2.34E-06,0.000278091
94,C41H7.5,74.83297891,2.147585289,0.388543306,5.512608747,3.54E-08,1.07E-05
95,C42D4.3,2401.141429,-2.370714158,0.652848008,-3.644411556,0.000268004,0.009152125
96,C43F9.4,7.990062944,-3.051433054,0.783883469,-3.914289564,9.07E-05,0.004229979
97,C43G2.3,483.5546172,-2.338752689,0.530230851,-4.412351713,1.02E-05,0.000822621
98,C44B7.5,2344.643318,-2.103469868,0.793207743,-3.099255917,0.001940074,0.032807992
99,C44C11.6,17.69859419,-2.224065294,0.575542863,-3.789485599,0.00015096,0.006033445
100,C45B11.8,254.0258696,-1.991306877,0.475341062,-4.188610254,2.81E-05,0.001788863
101,C45B2.1,3301.236582,-2.727393248,0.722134992,-3.83817484,0.000123952,0.005291649
102,C46A5.1,302.3001102,-1.54774273,0.47183082,-3.279738652,0.001039033,0.022074571
103,C46C2.5,595.4214582,-4.223899532,0.738096043,-6.051242136,1.44E-09,6.63E-07
104,C46F2.1,211.9862998,1.532804046,0.360659895,4.248500522,2.15E-05,0.001464454
105,C48B4.13,67.08138695,-1.807558149,0.485576194,-3.710951005,0.000206482,0.007514317
106,C48E7.7,2808.952084,-1.760746088,0.527554462,-3.338630934,0.000841923,0.019869173
107,C50E3.13,103.444153,-3.823093533,0.727709169,-5.296291814,1.18E-07,2.74E-05
108,C50F7.5,247.9488507,1.610595909,0.439097683,3.666674283,0.000245725,0.008504544
109,C52A10.2,70.83140283,-1.653038646,0.429691121,-3.839447042,0.000123312,0.005276751
110,C55C2.3,89.91241602,-1.687000997,0.495293747,-3.40487618,0.000661941,0.016711
111,C55C3.4,273.8872179,-1.708265003,0.508285928,-3.361307564,0.000775744,0.018855718
112,C55C3.8,252.995222,-1.893014117,0.548102828,-3.454141423,0.000552048,0.014847871
113,D1054.10,11592.0782,-3.377686064,0.738612432,-4.747847189,2.06E-06,0.000248096
114,D1086.10,52715.64284,-2.035165895,0.613471833,-3.322558219,0.000891961,0.020487003
115,D1086.11,944.2827059,-2.646250269,0.721519225,-3.721530362,0.000198019,0.007371862
116,D1086.6,322.2960261,-3.188366888,0.725339548,-4.49127017,7.08E-06,0.000634428
117,D1086.7,4411.094896,-3.28630437,0.740536858,-4.602610579,4.17E-06,0.000441268
118,D2096.13,35.62912059,-3.524242714,0.772578522,-4.512000693,6.42E-06,0.000587085
119,DH11.2,2037.079648,1.503412123,0.469699517,3.201065956,0.001369202,0.026393954
120,E02H4.4,54.15589517,-2.460742664,0.486371695,-5.02684956,4.99E-07,8.43E-05
121,E03H4.11,5.00662329,-2.316901635,0.793391151,-3.091923197,0.001988643,0.033330024
122,E04F6.10,65.83628252,-1.668924515,0.551451657,-3.021167108,0.002518023,0.038626054
123,F01D5.2,84.34295673,-1.551692176,0.480001769,-3.226885043,0.001251457,0.024756971
124,F01F1.14,33.41767281,-2.253612158,0.616043521,-3.621678865,0.000292697,0.009775119
125,F02E8.4,66.00754278,-1.516938288,0.760266519,-3.064211703,0.002182444,0.035334902
126,F02E9.3,1054.39666,-1.652423012,0.450638953,-3.667020833,0.000245393,0.008504544
127,F02H6.6,16.51862111,-2.657245478,0.793530749,-3.877788923,0.00010541,0.004711181
128,F07E5.9,11.01888407,3.591768898,0.771686826,4.558392608,5.15E-06,0.000510429
129,F07G11.1,40.37793399,-3.342888643,0.669310759,-4.861544471,1.16E-06,0.000159719
130,F07G11.4,55.66238157,-1.738480115,0.425011662,-4.076588982,4.57E-05,0.002617838
131,F07G6.10,2526.87035,-3.483041079,0.745740127,-4.897453893,9.71E-07,0.000144046
132,F08B4.8,8489.009948,-2.114631264,0.594079565,-3.563944707,0.000365323,0.011335782
133,F08F3.1,24.65105236,-2.729527185,0.670527222,-3.975673705,7.02E-05,0.003509209
134,F08H9.2,2770.541118,-2.056114227,0.588097988,-3.499971936,0.000465307,0.013390341
135,F08H9.3,133.005592,1.997520003,0.591014115,3.381279981,0.00072149,0.017792491
136,F09E10.10,13.17608347,2.247246053,0.717116565,3.084749844,0.002037234,0.033836002
137,F10C2.7,63.61563876,-2.358892952,0.439423154,-5.341469518,9.22E-08,2.42E-05
138,F11A5.15,71.93092221,2.401249468,0.521872796,4.58163943,4.61E-06,0.000473004
139,F11C1.1,127.321284,1.507623299,0.390096435,3.862090092,0.000112421,0.004918904
140,F12A10.7,136.9200767,2.508258487,0.653751397,3.844930187,0.000120587,0.005197002
141,F12A10.9,186.6396433,2.705609081,0.553816212,4.878916426,1.07E-06,0.000153241
142,F13B6.3,220.5741212,-4.179712604,0.518579845,-7.973305499,1.54E-15,2.80E-12
143,F13E9.5,242.6521463,-1.666253592,0.464293309,-3.588474686,0.000332618,0.010713031
144,F13H8.1,234.3085063,2.45524606,0.463530994,5.290507459,1.22E-07,2.79E-05
145,F14D7.10,167.6838267,1.605526211,0.485383064,3.307800679,0.000940317,0.020909926
146,F14F9.2,107.0087043,2.446116725,0.745225275,3.325037979,0.000884065,0.020359363
147,F14H3.6,113.3102466,-2.366330531,0.762995673,-3.17891616,0.001478268,0.027757403
148,F15D4.5,786.7325529,3.003866005,0.368228143,8.152483821,3.57E-16,8.07E-13
149,F15E6.3,2195.084908,2.033111998,0.573024369,3.550946854,0.000383848,0.011756398
150,F15G9.2,9.19741286,-2.451807159,0.739241519,-3.13095025,0.001742417,0.031068248
151,F15H10.5,59.94165226,-2.524736648,0.770509765,-3.365084748,0.000765202,0.018668948
152,F16A11.8,28.07318438,1.674349051,0.542347083,3.077372729,0.00208834,0.034333371
153,F16B12.7,7.503575547,-2.59686992,0.746990651,-3.19843201,0.001381771,0.026551421
154,F16B4.7,42.82274827,2.130231734,0.483687982,4.386029644,1.15E-05,0.000896803
155,F16H6.9,125.1510862,-1.761491894,0.488019156,-3.60883351,0.000307577,0.010073325
156,F17B5.1,3112.58936,1.784897141,0.375066801,4.75874938,1.95E-06,0.000238244
157,F17B5.4,15.372146,-2.405196963,0.780427027,-3.072783105,0.002120726,0.034645537
158,F17E9.4,3423.731993,-1.937740414,0.785698266,-3.308249921,0.00093881,0.020902088
159,F19B10.14,6.278711305,-2.720622023,0.770929961,-3.238855304,0.001200104,0.024174983
160,F19H6.4,33.4458079,-2.631557947,0.778055312,-3.466525279,0.000527232,0.014451119
161,F20D6.6,329.8987076,-1.626431786,0.511428093,-3.180647755,0.001469462,0.0277359
162,F21A3.3,449.5543608,-1.946289692,0.553884866,-3.514500103,0.000440583,0.012842164
163,F21C3.6,62.467179,-1.766682078,0.535250066,-3.298280207,0.00097279,0.021302531
164,F21F8.5,66.56438127,-1.693642081,0.46020411,-3.67143243,0.000241195,0.008461086
165,F21H7.12,19.09086995,2.641638574,0.752567057,3.495641135,0.000472924,0.013523542
166,F21H7.5,4010.584799,-1.784285175,0.551738652,-3.235481072,0.001214379,0.024315797
167,F22B5.6,881.4209057,-2.172569716,0.683130662,-3.195693591,0.001394952,0.026693082
168,F22E5.17,112.6739551,-2.555718257,0.747923329,-3.483034001,0.000495765,0.013911835
169,F22F7.3,92.90833296,-2.462227484,0.738222077,-3.372761931,0.000744183,0.018203311
170,F22F7.4,211.2682995,-4.066429685,0.645401159,-6.275408696,3.49E-10,1.86E-07
171,F22G12.3,18.61169144,-3.039928459,0.752196495,-3.839709288,0.00012318,0.005276751
172,F23F1.2,732.3587721,-2.771078166,0.699498805,-4.001257491,6.30E-05,0.003276526
173,F23F1.6,221.0428576,-2.217712198,0.675836574,-3.2913616,0.000997037,0.021587751
174,F25E5.7,184.1215804,2.331795167,0.394299388,5.906591748,3.49E-09,1.44E-06
175,F25H5.2,389.6072356,-1.513876897,0.485659807,-3.117626323,0.001823138,0.031823163
176,F26B1.8,6500.621705,-1.682632201,0.549492842,-3.063419208,0.002188233,0.035356775
177,F26D2.15,9.450118876,-2.309497061,0.731991352,-3.051629017,0.002276032,0.036170726
178,F26E4.5,217.5319679,-1.66420241,0.524226469,-3.175050271,0.001498105,0.028025456
179,F26F12.3,13029.03577,1.992038296,0.46645268,4.271311029,1.94E-05,0.001352891
180,F26G1.3,37.49718973,-2.795226484,0.680445867,-4.04083098,5.33E-05,0.002921509
181,F26G1.5,1117.020934,-2.110332577,0.581296828,-3.633675159,0.000279413,0.00943591
182,F27C1.1,6805.97699,-1.969139916,0.533381568,-3.693423536,0.000221255,0.007885753
183,F27E5.7,586.2917665,-1.590702765,0.485427,-3.276574213,0.001050747,0.022162851
184,F28H1.4,566.3487709,-2.617464299,0.696173413,-3.793021474,0.000148825,0.005999747
185,F29B9.8,579.8257175,-1.731210139,0.567752285,-3.050529246,0.002284384,0.036176413
186,F29D10.2,148.7681256,-3.213424205,0.651402336,-4.93719456,7.93E-07,0.000122845
187,F30A10.13,576.2844665,-3.00703755,0.758662412,-4.146017576,3.38E-05,0.002070305
188,F30A10.14,286.0510787,-3.034751416,0.771166119,-4.211507449,2.54E-05,0.001657661
189,F31F7.1,2828.177013,1.739307213,0.361232553,4.814905994,1.47E-06,0.000193168
190,F34D10.4,1466.160241,1.52626044,0.342754837,4.452931814,8.47E-06,0.000719839
191,F34D6.9,6.947667248,2.773786886,0.761592433,3.334924465,0.000853226,0.019953797
192,F35B3.4,3239.805689,-2.727688607,0.703025097,-3.923743772,8.72E-05,0.004131172
193,F35G2.12,29.01680259,-2.469304656,0.544774249,-4.475898608,7.61E-06,0.00066537
194,F35H10.2,331.2732921,-1.683063059,0.344704021,-4.881220186,1.05E-06,0.000152673
195,F35H8.4,218.947752,-1.787908075,0.525057957,-3.405814224,0.000659671,0.01668205
196,F36A2.10,1612.749882,-1.738507697,0.531357709,-3.272894025,0.001064524,0.022342293
197,F36A4.5,58.57621161,-2.543520137,0.779226557,-3.431897946,0.000599373,0.015587977
198,F36D1.8,286.3405052,-2.846108065,0.74874658,-3.910675232,9.20E-05,0.004271764
199,F36F12.1,210.7766789,-4.010468837,0.704219591,-5.740282755,9.45E-09,3.58E-06
200,F36F12.2,125.2008906,-1.844171672,0.779632944,-3.373004634,0.000743527,0.018203311
201,F36F12.3,28.44881079,-3.996764039,0.766762504,-5.133462298,2.84E-07,5.31E-05
202,F36H1.11,42.33145851,-2.296925283,0.698887095,-3.285866598,0.001016691,0.021830525
203,F36H12.5,655.6699694,-1.544403504,0.451644414,-3.419525436,0.000627305,0.016129037
204,F36H9.2,224.5399787,-3.152866874,0.65762118,-4.810922663,1.50E-06,0.000194273
205,F38B2.6,1977.514434,-2.071257842,0.700707065,-2.974206697,0.002937471,0.043018744
206,F38G1.3,51.29228423,-1.61650903,0.413780154,-3.89724235,9.73E-05,0.004436078
207,F39D8.3,314.3942282,-1.715012343,0.5843098,-2.936707967,0.003317163,0.046696202
208,F39E9.20,22.93015002,1.634998982,0.527994953,3.082279711,0.002054217,0.034001072
209,F39E9.6,7.852564076,2.26304646,0.779935139,2.927736799,0.003414389,0.047504892
210,F41D3.9,18.7279176,-2.231275143,0.710223629,-3.101002471,0.001928667,0.032695599
211,F41E6.1,141.0765997,-1.736943832,0.556856013,-3.120466992,0.001805645,0.031600569
212,F41E7.16,5.152702617,2.309138386,0.790302339,2.911488762,0.003597108,0.049326712
213,F41E7.20,194.2077828,-1.712958905,0.545025442,-3.140305083,0.00168772,0.030312108
214,F41G3.5,348.343584,-1.514832512,0.427472889,-3.543646158,0.000394635,0.011925341
215,F41H10.1,5729.70236,-1.9191188,0.474762093,-4.042949611,5.28E-05,0.002921509
216,F42A9.7,779.6777562,-1.622082825,0.536144544,-3.026447575,0.002474457,0.038086863
217,F42C5.5,280.6841987,-1.659119397,0.512393107,-3.238380208,0.001202105,0.024174983
218,F42G2.7,18.54688474,2.115403535,0.594674276,3.53523288,0.000407416,0.012169366
219,F43C11.8,24.81819127,2.095403395,0.677667791,3.070800358,0.002134858,0.034779928
220,F44F1.3,198.1765539,-1.949233453,0.512217716,-3.804062346,0.000142342,0.005829273
221,F44F1.4,216.5517963,2.186724097,0.411044612,5.313361717,1.08E-07,2.67E-05
222,F45D3.11,16.48480032,2.270815155,0.644196886,3.489371046,0.000484159,0.013719835
223,F45E10.2,857.3437096,-1.770051602,0.366320345,-4.83127491,1.36E-06,0.00018056
224,F45H7.14,10.30852911,2.309874527,0.730951649,3.074781558,0.002106568,0.034513006
225,F46A8.13,2420.834156,4.046448851,0.282674408,14.30613413,2.00E-46,3.63E-42
226,F46A8.7,262.2208018,3.82903853,0.383462353,9.931717436,3.03E-23,1.83E-19
227,F46A8.8,10.05674456,2.353500497,0.762694396,2.989912848,0.002790571,0.04153957
228,F46C5.4,77.12501672,-1.517353882,0.454377878,-3.333289071,0.000858257,0.01997062
229,F47B3.7,284.0155362,-1.972172798,0.481126052,-4.098734445,4.15E-05,0.002457331
230,F47B8.10,88.77600635,2.02966971,0.578868422,3.506736772,0.000453638,0.013109547
231,F47B8.4,185.1518567,-2.183284432,0.476227265,-4.577156205,4.71E-06,0.00047931
232,F47D12.3,43.67652553,-1.701648864,0.545054489,-3.109030518,0.001877023,0.032419846
233,F47E1.4,126.6826269,-2.569445863,0.765905601,-3.48264061,0.000496494,0.013911835
234,F48B9.3,837.745281,-1.710938929,0.485440394,-3.524770607,0.00042385,0.012514188
235,F48C1.9,107.3673532,3.470391227,0.720921478,4.868918605,1.12E-06,0.000157451
236,F48E3.4,1071.048511,-2.990941966,0.686054439,-4.402869734,1.07E-05,0.000854378
237,F48G7.5,875.2831708,-2.936387017,0.51267456,-5.726180627,1.03E-08,3.79E-06
238,F48G7.8,529.2148921,-3.116526565,0.463732802,-6.710534776,1.94E-11,1.35E-08
239,F49B2.9,10.15938185,-2.623786912,0.76726367,-3.249193088,0.001157329,0.023564466
240,F49C12.1,124.0900575,-6.110967759,0.695134068,-7.342574047,2.10E-13,1.81E-10
241,F49C12.2,723.3835217,-4.026335457,0.706884524,-5.829063961,5.57E-09,2.24E-06
242,F49C12.3,195.3797227,-5.303669,0.661189685,-7.576154568,3.56E-14,3.79E-11
243,F49C12.4,460.4408347,-5.095382484,0.654167825,-7.752271446,9.03E-15,1.09E-11
244,F49C12.5,165.9557995,-5.110506035,0.576301725,-8.464128269,2.58E-17,9.34E-14
245,F49D11.3,87.31060362,-2.647502325,0.693255825,-3.826258347,0.000130106,0.00550244
246,F49D11.7,208.6745339,-1.750514022,0.597484601,-2.932793058,0.003359277,0.04699094
247,F49E12.10,870.5308321,-2.151677883,0.532995501,-4.037933008,5.39E-05,0.002948891
248,F49H6.5,37.46305693,3.049361261,0.718642656,4.190509901,2.78E-05,0.001785246
249,F52D2.12,166.1588589,1.64405348,0.498843912,3.295251029,0.000983338,0.021367828
250,F52F12.8,368.2265305,-1.76752571,0.55341487,-3.195176217,0.001397455,0.02670935
251,F52H3.6,3523.185132,-1.619206524,0.448150072,-3.613363927,0.00030225,0.010001878
252,F53B6.7,1547.033998,-1.699348631,0.461710822,-3.68085171,0.000232456,0.008218143
253,F53F8.3,20.1001998,-2.806920233,0.793164928,-4.085046097,4.41E-05,0.002564875
254,F53G12.8,164.7000691,-1.682113302,0.568268741,-2.961593125,0.003060519,0.044100329
255,F53H2.1,75.89220878,2.83898684,0.445080614,6.331449358,2.43E-10,1.33E-07
256,F53H4.2,921.2768085,-2.58979456,0.742983654,-3.563651828,0.000365731,0.011335782
257,F53H4.3,103.852702,-1.725713946,0.521754924,-3.305197659,0.000949094,0.02105338
258,F54D1.1,848.1257559,-1.710629243,0.3778536,-4.526963323,5.98E-06,0.000570061
259,F54D10.7,12.11139969,-2.960897019,0.779626162,-3.599701697,0.000318582,0.01031603
260,F54D5.5,42.40910718,-2.161734181,0.623719881,-3.442356036,0.000576671,0.015260697
261,F54F7.3,3469.794991,-2.468765552,0.792914185,-3.645779831,0.000266582,0.009139022
262,F54F7.6,9.829301708,-2.397444653,0.79297657,-3.431080921,0.000601181,0.015590231
263,F54F7.9,29.97043472,-2.443200662,0.762860262,-3.233883011,0.001221195,0.024344543
264,F54H5.3,259.4636992,-2.33903956,0.612490034,-3.823912646,0.00013135,0.005542132
265,F55B11.2,7438.533051,-2.20293012,0.793503601,-3.247414605,0.001164586,0.023617933
266,F55G11.4,2253.552748,-1.59200726,0.360383733,-4.417375394,9.99E-06,0.000810946
267,F55H12.5,639.6867895,-1.85003724,0.517513154,-3.575558941,0.00034948,0.011059345
268,F55H2.8,43.65720814,1.954487847,0.592229842,3.289976473,0.001001958,0.021651398
269,F56C3.8,47.13904594,-2.697135425,0.654257769,-4.099870557,4.13E-05,0.002453316
270,F56D6.12,90.59781723,-1.98075505,0.648771221,-3.054719544,0.002252711,0.035906287
271,F56D6.13,408.4157203,-1.760735173,0.580612224,-3.034632616,0.002408289,0.037482743
272,F56D6.20,286.3550071,-2.513955699,0.52599332,-4.777864484,1.77E-06,0.00021965
273,F56D6.8,91.17421798,2.769658434,0.712717393,3.922083053,8.78E-05,0.004134191
274,F56D6.9,73.01091294,2.76205162,0.679517301,4.087810059,4.35E-05,0.002542691
275,F56H1.10,40.47279565,-1.758199929,0.473791652,-3.699655825,0.000215892,0.007753694
276,F56H6.2,39.52238373,1.912577852,0.580188221,3.283188915,0.001026399,0.021960805
277,F57B1.9,288.7761364,-2.279751779,0.412968389,-5.514408511,3.50E-08,1.07E-05
278,F57B9.3,180.4586462,-2.290740183,0.458247214,-4.990313008,6.03E-07,9.83E-05
279,F57C2.4,885.1448079,-1.753252201,0.777622028,-3.168665016,0.001531408,0.028430784
280,F57E7.4,45.30598607,2.349939759,0.523247186,4.46381019,8.05E-06,0.000694
281,F58A4.1,38.98776899,-3.327528785,0.619214138,-5.212194448,1.87E-07,3.93E-05
282,F58A6.9,4161.447226,-1.682114162,0.547585894,-3.073117386,0.002118351,0.034645537
283,F58B4.7,140.6913406,-1.657223042,0.378432597,-4.375567328,1.21E-05,0.000928958
284,F58E6.4,106.2886169,-3.449378654,0.713450762,-4.84783006,1.25E-06,0.000169337
285,F58F12.12,266.6394677,1.78255287,0.569440021,3.130709602,0.001743845,0.031068248
286,F58F9.9,11.6502529,2.106955087,0.790884969,3.062280142,0.002196578,0.035364762
287,F59A1.13,34.29450194,-3.179367091,0.685390436,-4.519028731,6.21E-06,0.000577454
288,F59C6.18,5488.185763,3.04012367,0.490076336,6.206118279,5.43E-10,2.66E-07
289,F59H6.15,250.9231111,-1.593438882,0.498780783,-3.19488961,0.001398843,0.02670935
290,H05L14.1,1372.019739,-1.813248206,0.477754526,-3.795850949,0.000147138,0.005971621
291,H06A10.1,573.5523476,-2.010370156,0.573254476,-3.507761584,0.000451894,0.013105346
292,H08M01.1,326.9280177,-1.943598997,0.481866721,-4.033166106,5.50E-05,0.002991304
293,H10E21.4,2094.139043,-1.91822697,0.647907376,-2.967216948,0.003005088,0.043550924
294,H12D21.5,132.247369,-1.715365015,0.434985793,-3.940514711,8.13E-05,0.003927728
295,H29C22.1,309.8445229,-3.324336326,0.763286158,-4.639821661,3.49E-06,0.000384878
296,H34I24.1,712.674083,-1.554255025,0.470826582,-3.301350795,0.000962205,0.021188409
