animal,animal_num,data,maxD
07312020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal/07312020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal__8/07312020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal__8_ImageJ_data.csv,16,,0.4165214305088662
07312020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal/07312020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal__9/07312020_CX14887_kyIs598_DIA105_115uM_Control_adult_Animal__9_ImageJ_data.csv,17,,0.43306896892210756
06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_1/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_1_ImageJ_data.csv,1,,0.5700467881273966
06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_2/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_2_ImageJ_data.csv,2,,0.6069981142642856
06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_3/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_3_ImageJ_data.csv,3,,0.6564673108911224
06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_4/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_4_ImageJ_data.csv,4,,0.684607482798854
06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_5/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_5_ImageJ_data.csv,5,,0.6133989307856855
06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_6/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_6_ImageJ_data.csv,6,,0.7219635671951673
06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_7/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_7_ImageJ_data.csv,7,,0.5434209850978015
06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_8/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_8_ImageJ_data.csv,8,,1.0898644109870204
06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_9/06232020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal_9_ImageJ_data.csv,9,,0.9581073424731068
07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__1/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,10,,0.3452829369561555
07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__2/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__2_ImageJ_data.csv,11,,0.4913510199513459
07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__3/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__3_ImageJ_data.csv,12,,0.34079558246537667
07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__4/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__4_ImageJ_data.csv,13,,0.8368397393335386
07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__5/07242020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__5_ImageJ_data.csv,14,,0.8023422179972679
07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__1/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__1_ImageJ_data.csv,15,,1.2123772412999902
07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__2/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__2_ImageJ_data.csv,16,,0.639900710779305
07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__4/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__4_ImageJ_data.csv,17,,0.5649294715074598
07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__5/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__5_ImageJ_data.csv,18,,0.9581213117660229
07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__8/07312020_CX14887_kyIs598_DIA105_115uM_SDS_PD_adult_Animal__8_ImageJ_data.csv,19,,0.6256405436535224
