Date,Strain ID,Condition,Plate,File name/#,Area,Mean,Mode,Min,Max,Integrated Density,Median,Raw Integrated Density,Ch,Mean 1,Mean 2,Mean 3,Average Background mean fluorescence,CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),,,,,,,,,,,,,,,,,,,
20210727,PY12004,Control,NGM,20210727_AP220_odr-10-splitgfp_control_adult - 3_Project Maximum Z.tif:2,28.16,2917.98,2010,1389,10886,82170.329,2430,4622081,2,1225.786,1228.377,1263.536,1239.233,47273.52772,,,,,,,,,,,,,,,,,,,,
20210727,PY12004,Control,NGM,20210727_AP220_odr-10-splitgfp_control_adult - 5_Project Maximum Z.tif:2,12.018,4069.966,1730,1636,12733,48911.947,3355,2751297,2,1357.007,1278.576,1206.462,1280.681667,33520.71473,,,,,,,,,,,,,,,,,,,,
20210727,PY12004,Control,NGM,20210727_AP220_odr-10-splitgfp_control_adult - 5_Project Maximum Z.tif:2,9.44,4357.672,2793,1527,13754,41136.427,3473,2313924,2,1279.25,1250.657,1235.338,1255.081667,29288.45607,,,,,,,,,,,,,,,,,,,,
20210727,PY12004,Control,NGM,20210727_AP220_odr-10-splitgfp_control_adult - 6_Project Maximum Z.tif:2,12.089,3467.776,2105,1497,13206,41921.564,2723,2358088,2,1227.654,1253.5,1240.393,1240.515667,26924.97011,,,,,,,,,,,,,,,,,,,,
20210727,PY12004,Control,NGM,20210727_AP220_odr-10-splitgfp_control_adult - 7_Project Maximum Z.tif:2,8.569,4118.683,1863,1534,14139,35292.533,3110,1985205,2,1254.856,1250.674,1201.728,1235.752667,24703.3684,,,,,,,,,,,,,,,,,,,,
20210727,PY12004,Control,NGM,20210727_AP220_odr-10-splitgfp_control_adult - 8_Project Maximum Z.tif:2,16.587,3042.752,1556,1415,12325,50469.12,2642,2838888,2,1259.287,1286.25,1247.455,1264.330667,29497.66723,,,,,,,,,,,,,,,,,,,,
20210727,PY12004,Control,NGM,20210727_AP220_odr-10-splitgfp_control_adult - 9_Project Maximum Z.tif:2,8.036,3716.053,1795,1543,10638,29860.551,2904,1679656,2,1266.861,1261.437,1233.08,1253.792667,19785.07313,,,,,,,,,,,,,,,,,,,,
20210727,PY12004,Control,NGM,20210727_AP220_odr-10-splitgfp_control_adult - 10_Project Maximum Z.tif:2,15.84,3435.905,1483,1323,10702,54424.729,2975,3061391,2,1227.82,1200.96,1197.109,1208.629667,35280.03508,,,,,,,,,,,,,,,,,,,,
20210727,PY12004,Control,NGM,20210727_AP220_odr-10-splitgfp_control_adult - 11_Project Maximum Z.tif:2,20.338,3421.628,1523,1329,12806,69588.32,2780,3914343,2,1200.35,1204.473,1205.973,1203.598667,45109.53032,,,,,,,,,,,,,,,,,,,,
20210727,PY12004,Control,NGM,20210727_AP220_odr-10-splitgfp_control_adult - 12_Project Maximum Z.tif:2,8.356,3129.094,1634,1424,8432,26145.316,2504,1470674,2,1212.545,1197.89,1186.477,1198.970667,16126.71711,,,,,,,,,,,,,,,,,,,,
20210727,PY12402,Control,NGM,20210727_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult_Project Maximum Z.tif:2,19.893,2730.214,2541,1345,6428,54313.049,2500,3055109,2,1227.436,1211.721,1223.013,1220.723333,30029.19973,,,,,,,,,,,,,,,,,,,,
20210727,PY12402,Control,NGM,20210727_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult - 1_Project Maximum Z.tif:2,9.938,3717.519,2405,1507,11532,36943.876,2966,2078093,2,1283.746,1237.151,1214.527,1245.141333,24569.66143,,,,,,,,,,,,,,,,,,,,
20210727,PY12402,Control,NGM,20210727_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult - 2_Project Maximum Z.tif:2,16.053,3364.742,2376,1400,10849,54015.324,2746,3038362,2,1326.637,1362.343,1267.564,1318.848,32843.85706,,,,,,,,,,,,,,,,,,,,
20210727,PY12402,Control,NGM,20210727_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult - 3_Project Maximum Z.tif:2,16.836,3423.356,1544,1403,11307,57634.098,3078,3241918,2,1232.58,1257.68,1257.628,1249.296,36600.95054,,,,,,,,,,,,,,,,,,,,
20210727,PY12402,Control,NGM,20210727_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult - 4_Project Maximum Z.tif:2,16.729,3525.21,1528,1412,10196,58972.853,2816,3317223,2,1226.26,1249.773,1267.42,1247.817667,38098.11125,,,,,,,,,,,,,,,,,,,,
20210727,PY12402,Control,NGM,20210727_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult - 5_Project Maximum Z.tif:2,18.133,3827.83,1574,1382,12035,69411.324,3134,3904387,2,1266.821,1253.658,1237.556,1252.678333,46696.50778,,,,,,,,,,,,,,,,,,,,
20210727,PY12402,Control,NGM,20210727_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult - 6_Project Maximum Z.tif:2,7.733,2235.676,1915,1451,4513,17289.227,1965,972519,2,1233.13,1226.686,1221.933,1227.249667,7798.905328,,,,,,,,,,,,,,,,,,,,
20210727,PY12402,Control,NGM,20210727_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult - 7_Project Maximum Z.tif:2,5.956,5513.075,2882,1564,20035,32833.422,3736,1846880,2,1185.109,1191.144,1175,1183.751,25783.00104,,,,,,,,,,,,,,,,,,,,
20210727,PY12402,Control,NGM,20210727_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult - 8_Project Maximum Z.tif:2,17.404,4403.973,1506,1375,12246,76648.711,3903,4311490,2,1279.706,1245.935,1248.571,1258.070667,54753.24912,,,,,,,,,,,,,,,,,,,,
20210727,PY12402,Control,NGM,20210727_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult - 9_Project Maximum Z.tif:2,16.604,4999.266,1488,1324,16322,83010.027,3790,4669314,2,1243.969,1265.857,1240.034,1249.953333,62255.80185,,,,,,,,,,,,,,,,,,,,
20210727,PY12402,Control,NGM,20210727_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult - 10_Project Maximum Z.tif:2,8.516,6232.704,1779,1654,28366,53074.933,3617,2985465,2,1267.04,1303.27,1260.746,1277.018667,42199.84203,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult_Project Maximum Z.tif:2,7.36,6740.64,2836,1956,21220,49611.111,4812,2790625,2,1304.154,1366.732,1403.112,1357.999333,39616.23591,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult - 1_Project Maximum Z.tif:2,8.391,5050.174,3392,1820,13345,42376.569,4750,2383682,2,1364.899,1363.44,1278.314,1335.551,31169.96056,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult - 2_Project Maximum Z.tif:2,14.364,4299.275,1503,1358,14197,61756.693,3578,3473814,2,1239.958,1276.42,1255.61,1257.329333,43696.41446,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult - 3_Project Maximum Z.tif:2,8.373,7065.877,3286,2098,20685,59164.942,6395,3328028,2,1343.031,1467.842,1330.262,1380.378333,47607.03422,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult - 4_Project Maximum Z.tif:2,16.071,4413.928,1649,1423,17784,70936.729,3298,3990191,2,1337.731,1414.289,1289.061,1347.027,49288.65808,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult - 5_Project Maximum Z.tif:2,6.72,6662.743,3172,1970,18407,44773.636,5524,2518517,2,1329.613,1313.97,1350.94,1331.507667,35825.90448,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult - 6_Project Maximum Z.tif:2,12.764,4194.575,2586,1502,13601,53541.422,3104,3011705,2,1237.283,1242.025,1240.624,1239.977333,37714.35132,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult - 7_Project Maximum Z.tif:2,9.582,5841.455,2550,1897,24127,55974.116,4495,3148544,2,1368.204,1285.387,1280.163,1311.251333,43409.70572,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult - 8_Project Maximum Z.tif:2,6.916,10074.828,5006,2391,38166,69673.031,7323,3919108,2,1275.428,1341.136,1230.361,1282.308333,60804.58657,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult - 9_Project Maximum Z.tif:2,11.733,4629.303,2520,1649,15865,54317.156,3691,3055340,2,1284.1,1314.618,1292.166,1296.961333,39099.90868,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Control,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult_Project Maximum Z.tif:2,7.449,4805.745,2007,1686,13286,35797.458,3954,2013607,2,1296.141,1267.532,1252.906,1272.193,26320.89234,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Control,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult - 1_Project Maximum Z.tif:2,11.538,4247.153,2440,1678,14754,49002.702,3492,2756402,2,1265.868,1285.301,1262.11,1271.093,34336.83097,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Control,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult - 2_Project Maximum Z.tif:2,8.551,4324.944,2042,1809,11698,36983.076,3711,2080298,2,1398.444,1351.357,1302.042,1350.614333,25433.97284,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Control,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult - 3_Project Maximum Z.tif:2,15.093,6404.495,1583,1425,24958,96665.173,5237,5437416,2,1322.644,1351.992,1353.672,1342.769333,76398.75545,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Control,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult - 4_Project Maximum Z.tif:2,12.924,5562.369,3176,1489,25944,71890.524,4140,4043842,2,1409.66,1396.689,1304.646,1370.331667,54180.35754,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Control,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult - 5_Project Maximum Z.tif:2,14.471,6580.952,2293,1851,25271,95233.689,4998,5356895,2,1307.961,1415.473,1327.786,1350.406667,75691.95413,,,,,,,,,,,,,,,,,,,,
