Date,Strain ID,Condition,Plate,File name/#,Area,Mean,Mode,Min,Max,Integrated Density,Median,Raw Integrated Density,Ch,Slice,Mean 1,Mean 2,Mean 3,Average Background mean fluorescence,RAW CTCF or corrected total cell fluorescence = Raw integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),,,,,,,,,,,,,,,,,,,
20210727,PY12004,Control,NGM,20210727_AP220_odr-10-splitgfp_control_adult - 7_Project Maximum Z.tif:2,8.569,4118.683,1863,1534,14139,35292.533,3110,1985205,2,,1254.856,1250.674,1201.728,1235.752667,1974615.835,24703.3684,,,,,,,,,,,,,,,,,,,,
20210727,PY12004,Control,NGM,20210727_AP220_odr-10-splitgfp_control_adult - 8_Project Maximum Z.tif:2,16.587,3042.752,1556,1415,12325,50469.12,2642,2838888,2,,1259.287,1286.25,1247.455,1264.330667,2817916.547,29497.66723,,,,,,,,,,,,,,,,,,,,
20210727,PY12004,Control,NGM,20210727_AP220_odr-10-splitgfp_control_adult - 9_Project Maximum Z.tif:2,8.036,3716.053,1795,1543,10638,29860.551,2904,1679656,2,,1266.861,1261.437,1233.08,1253.792667,1669580.522,19785.07313,,,,,,,,,,,,,,,,,,,,
20210727,PY12004,Control,NGM,20210727_AP220_odr-10-splitgfp_control_adult - 10_Project Maximum Z.tif:2,15.84,3435.905,1483,1323,10702,54424.729,2975,3061391,2,,1227.82,1200.96,1197.109,1208.629667,3042246.306,35280.03508,,,,,,,,,,,,,,,,,,,,
20210727,PY12004,Control,NGM,20210727_AP220_odr-10-splitgfp_control_adult - 11_Project Maximum Z.tif:2,20.338,3421.628,1523,1329,12806,69588.32,2780,3914343,2,,1200.35,1204.473,1205.973,1203.598667,3889864.21,45109.53032,,,,,,,,,,,,,,,,,,,,
20210727,PY12004,Control,NGM,20210727_AP220_odr-10-splitgfp_control_adult - 12_Project Maximum Z.tif:2,8.356,3129.094,1634,1424,8432,26145.316,2504,1470674,2,,1212.545,1197.89,1186.477,1198.970667,1460655.401,16126.71711,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult_Project Maximum Z.tif:2,7.36,6740.64,2836,1956,21220,49611.111,4812,2790625,2,,1304.154,1366.732,1403.112,1357.999333,2780630.125,39616.23591,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult - 1_Project Maximum Z.tif:2,8.391,5050.174,3392,1820,13345,42376.569,4750,2383682,2,,1364.899,1363.44,1278.314,1335.551,2372475.392,31169.96056,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult - 2_Project Maximum Z.tif:2,14.364,4299.275,1503,1358,14197,61756.693,3578,3473814,2,,1239.958,1276.42,1255.61,1257.329333,3455753.721,43696.41446,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult - 3_Project Maximum Z.tif:2,8.373,7065.877,3286,2098,20685,59164.942,6395,3328028,2,,1343.031,1467.842,1330.262,1380.378333,3316470.092,47607.03422,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult - 4_Project Maximum Z.tif:2,16.071,4413.928,1649,1423,17784,70936.729,3298,3990191,2,,1337.731,1414.289,1289.061,1347.027,3968542.929,49288.65808,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult - 5_Project Maximum Z.tif:2,6.72,6662.743,3172,1970,18407,44773.636,5524,2518517,2,,1329.613,1313.97,1350.94,1331.507667,2509569.268,35825.90448,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult - 6_Project Maximum Z.tif:2,12.764,4194.575,2586,1502,13601,53541.422,3104,3011705,2,,1237.283,1242.025,1240.624,1239.977333,2995877.929,37714.35132,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult - 7_Project Maximum Z.tif:2,9.582,5841.455,2550,1897,24127,55974.116,4495,3148544,2,,1368.204,1285.387,1280.163,1311.251333,3135979.59,43409.70572,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult - 8_Project Maximum Z.tif:2,6.916,10074.828,5006,2391,38166,69673.031,7323,3919108,2,,1275.428,1341.136,1230.361,1282.308333,3910239.556,60804.58657,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Control,NGM,20210730_AP220_odr-10-splitgfp_control_adult - 9_Project Maximum Z.tif:2,11.733,4629.303,2520,1649,15865,54317.156,3691,3055340,2,,1284.1,1314.618,1292.166,1296.961333,3040122.753,39099.90868,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD_Project Maximum Z.tif:2,17.973,6013.64,4257,1519,28266,108085.156,3764,6079790,2,,1441.557,1365.219,1333.12,1379.965333,6054987.883,83283.03906,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 1_Project Maximum Z.tif:2,15.538,7735.729,2539,1525,32474,120196.036,3963,6761027,2,,1306.138,1313.119,1307.187,1308.814667,6740690.638,99859.67371,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 2_Project Maximum Z.tif:2,13.849,4936.069,4002,1700,21552,68359.076,3334,3845198,2,,1293.528,1269.395,1279.988,1280.970333,3827457.842,50618.91785,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 3_Project Maximum Z.tif:2,14.56,6625.56,2469,1814,34489,96468.16,4105,5426334,2,,1336.843,1336.5,1396.725,1356.689333,5406580.603,76714.76331,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 4_Project Maximum Z.tif:2,10.951,7635.776,2401,1861,34210,83620.231,4856,4703638,2,,1294.258,1322.984,1532.443,1383.228333,4688490.267,68472.49752,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 5_Project Maximum Z.tif:2,22.009,5780.837,1874,1389,27720,127229.796,3279,7156676,2,,1248.469,1250.214,1234.69,1244.457667,7129286.731,99840.52721,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 6_Project Maximum Z.tif:2,15.324,5175.218,2948,1653,23006,79307.342,3364,4461038,2,,1305.577,1241.517,1247.23,1264.774667,4441656.593,59925.93501,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 7_Project Maximum Z.tif:2,20.907,6797.037,2151,1500,32957,142103.396,3605,7993316,2,,1288.343,1262.838,1282.189,1277.79,7966601.244,115388.6405,,,,,,,,,,,,,,,,,,,,
